0.62,0.46,-0.49,-47.3,38.33,-62.99,24.8,25.1,16.15,1.0
0.61,0.47,-0.5,-46.81,37.35,-62.5,24.8,25.1,16.15,1.0
0.61,0.42,-0.51,-46.94,36.25,-61.58,24.8,25.1,16.15,1.0
0.63,0.42,-0.51,-49.5,34.67,-59.45,23.45,27.01,15.98,1.0
0.63,0.42,-0.51,-49.5,34.67,-59.45,23.45,27.01,15.98,1.0
0.64,0.42,-0.52,-48.1,33.69,-57.86,23.45,27.01,15.98,1.0
0.64,0.42,-0.52,-48.1,33.69,-57.86,23.45,27.01,15.98,1.0
0.64,0.37,-0.53,-47.18,33.26,-57.01,23.45,27.01,15.98,1.0
0.64,0.32,-0.55,-49.01,32.29,-54.44,23.45,27.01,15.98,1.0
0.64,0.32,-0.55,-49.01,32.29,-54.44,23.45,27.01,15.98,1.0
0.64,0.32,-0.54,-50.42,31.43,-51.94,22.86,27.53,16.26,1.0
0.64,0.34,-0.57,-48.22,30.64,-51.27,22.86,27.53,16.26,1.0
0.64,0.34,-0.57,-48.22,30.64,-51.27,22.86,27.53,16.26,1.0
0.65,0.25,-0.61,-44.19,27.89,-46.94,21.77,28.75,16.22,1.0
0.66,0.22,-0.59,-47.36,27.28,-44.92,21.77,28.75,16.22,1.0
0.65,0.21,-0.57,-49.5,27.34,-44.01,21.77,28.75,16.22,1.0
0.65,0.21,-0.57,-49.5,27.34,-44.01,21.77,28.75,16.22,1.0
0.67,0.23,-0.6,-51.7,26.92,-41.69,21.66,29.54,16.27,1.0
0.65,0.26,-0.62,-47.97,25.94,-39.79,21.66,29.54,16.27,1.0
0.65,0.26,-0.62,-47.97,25.94,-39.79,21.66,29.54,16.27,1.0
0.65,0.26,-0.62,-47.97,25.94,-39.79,21.66,29.54,16.27,1.0
0.65,0.12,-0.63,-40.83,22.4,-37.29,21.66,29.54,16.27,1.0
0.65,0.12,-0.63,-40.83,22.4,-37.29,21.66,29.54,16.27,1.0
0.65,0.12,-0.65,-47.06,21.61,-35.16,21.06,30.65,15.89,1.0
0.65,0.17,-0.65,-47.67,21.0,-33.51,21.06,30.65,15.89,1.0
0.65,0.17,-0.65,-47.67,21.0,-33.51,21.06,30.65,15.89,1.0
0.65,0.17,-0.65,-47.67,21.0,-33.51,21.06,30.65,15.89,1.0
0.65,0.09,-0.69,-34.36,20.08,-32.35,20.86,31.52,14.5,1.0
0.65,0.09,-0.69,-31.07,19.17,-31.43,20.86,31.52,14.5,1.0
0.67,0.07,-0.7,-27.77,18.01,-30.82,20.86,31.52,14.5,1.0
0.67,0.07,-0.7,-27.77,18.01,-30.82,20.86,31.52,14.5,1.0
0.67,-0.0,-0.7,-29.66,17.33,-29.42,20.86,31.52,14.5,1.0
0.65,-0.04,-0.69,-37.78,17.7,-23.25,20.06,32.28,15.71,1.0
0.64,-0.01,-0.7,-41.87,17.94,-20.08,20.06,32.28,15.71,1.0
0.64,-0.01,-0.7,-41.87,17.94,-20.08,20.06,32.28,15.71,1.0
0.64,0.04,-0.72,-39.98,17.88,-19.23,20.06,32.28,15.71,1.0
0.64,0.04,-0.73,-35.22,17.52,-19.41,19.8,32.73,14.88,1.0
0.64,0.04,-0.73,-35.22,17.52,-19.41,19.8,32.73,14.88,1.0
0.64,-0.01,-0.76,-25.09,15.62,-18.68,19.8,32.73,14.88,1.0
0.63,-0.0,-0.75,-23.86,14.59,-18.55,19.8,32.73,14.88,1.0
0.63,-0.01,-0.75,-22.03,14.04,-18.43,18.87,32.87,15.17,1.0
0.63,-0.01,-0.75,-22.03,14.04,-18.43,18.87,32.87,15.17,1.0
0.62,-0.03,-0.75,-22.89,13.49,-18.25,18.87,32.87,15.17,1.0
0.64,-0.05,-0.74,-31.49,12.27,-16.24,18.87,32.87,15.17,1.0
0.64,-0.05,-0.75,-33.2,11.54,-16.05,18.87,32.87,15.17,1.0
0.64,-0.05,-0.75,-33.2,11.54,-16.05,18.87,32.87,15.17,1.0
0.64,-0.04,-0.76,-32.96,10.93,-15.75,18.65,33.5,14.73,1.0
0.63,-0.05,-0.76,-27.34,8.61,-15.5,18.65,33.5,14.73,1.0
0.61,-0.12,-0.76,-28.38,7.81,-13.73,18.18,33.07,15.39,1.0
0.61,-0.12,-0.76,-28.38,7.81,-13.73,18.18,33.07,15.39,1.0
0.61,-0.1,-0.75,-32.71,7.87,-13.37,18.18,33.07,15.39,1.0
0.61,-0.1,-0.75,-32.71,7.87,-13.37,18.18,33.07,15.39,1.0
0.61,-0.1,-0.75,-32.71,7.87,-13.37,18.18,33.07,15.39,1.0
0.62,-0.12,-0.77,-33.02,7.81,-13.24,18.18,33.07,15.39,1.0
0.62,-0.08,-0.76,-35.58,5.25,-13.12,18.21,34.51,13.79,1.0
0.62,-0.07,-0.77,-33.69,4.52,-13.18,0.0,0.0,0.0,1.0
0.62,-0.06,-0.76,-18.13,2.5,-14.34,0.0,0.0,0.0,1.0
0.62,-0.06,-0.76,-18.13,2.5,-14.34,0.0,0.0,0.0,1.0
0.62,-0.11,-0.76,-9.83,1.16,-15.38,0.0,0.0,0.0,1.0
0.62,-0.15,-0.75,-8.85,0.85,-15.5,18.08,34.27,13.85,1.0
0.61,-0.17,-0.73,-13.06,0.43,-14.95,18.08,34.27,13.85,1.0
0.61,-0.17,-0.73,-13.06,0.43,-14.95,18.08,34.27,13.85,1.0
0.61,-0.21,-0.74,-18.25,0.67,-14.1,18.08,34.27,13.85,1.0
0.6,-0.21,-0.74,-30.7,1.34,-12.51,18.03,34.53,13.72,1.0
0.6,-0.21,-0.74,-30.7,1.34,-12.51,18.03,34.53,13.72,1.0
0.6,-0.19,-0.75,-35.52,2.08,-11.47,18.03,34.53,13.72,1.0
0.6,-0.19,-0.75,-35.52,2.08,-11.47,18.03,34.53,13.72,1.0
0.6,-0.15,-0.69,-29.97,3.72,-11.66,18.03,34.53,13.72,1.0
0.6,-0.16,-0.69,-24.17,5.19,-12.21,17.74,35.51,14.61,1.0
0.6,-0.24,-0.73,-17.4,8.61,-11.78,17.74,35.51,14.61,1.0
0.6,-0.25,-0.77,-30.58,9.46,-9.34,17.74,35.51,14.61,1.0
0.6,-0.25,-0.77,-30.58,9.46,-9.34,17.74,35.51,14.61,1.0
0.58,-0.22,-0.78,-34.36,9.4,-9.03,17.76,35.38,13.68,1.0
0.58,-0.22,-0.78,-34.36,9.4,-9.03,17.76,35.38,13.68,1.0
0.58,-0.22,-0.78,-34.36,9.4,-9.03,17.76,35.38,13.68,1.0
0.58,-0.2,-0.76,-36.5,9.58,-9.64,17.76,35.38,13.68,1.0
0.59,-0.22,-0.73,-28.99,10.25,-10.01,17.76,35.38,13.68,1.0
0.59,-0.22,-0.73,-28.99,10.25,-10.01,17.76,35.38,13.68,1.0
0.59,-0.21,-0.73,-20.45,9.95,-10.01,17.53,35.5,13.72,1.0
0.57,-0.3,-0.78,-15.69,9.28,-10.44,17.53,35.5,13.72,1.0
0.57,-0.3,-0.78,-15.69,9.28,-10.44,17.53,35.5,13.72,1.0
0.56,-0.29,-0.76,-31.68,5.49,-4.15,17.41,36.4,12.79,1.0
0.56,-0.29,-0.76,-31.68,5.49,-4.15,17.41,36.4,12.79,1.0
0.55,-0.24,-0.75,-24.9,4.52,-3.91,17.41,36.4,12.79,1.0
0.55,-0.24,-0.75,-16.78,3.72,-3.72,17.41,36.4,12.79,1.0
0.54,-0.31,-0.73,-5.25,3.3,-3.85,17.41,36.4,12.79,1.0
0.54,-0.31,-0.73,-5.25,3.3,-3.85,17.41,36.4,12.79,1.0
